Precinct,district
WARD 47 PRECINCT 28,5
WARD 50 PRECINCT 24,5
7000008,7
7400014,7
7400016,7
7400017,1
7400023,7
7400027,7
7400046,7
7600004,4
7600015,1
7800042,5
8000004,7
8000012,5
8000016,5
8000017,5
8000035,5
8000047,5
8700002,7
8700018,7
8700027,7
8700035,7
8700047,7
8700059,7
9600063,7
ADDISON  007,1
ADDISON  065,1
GE0010,12
RU0013,4
SC0013,12
7200003,14
7200007,14
7200012,14
7200021,14
7200030,14
7200045,14
7300001,14
7300002,14
7700013,1
8600015,14
9500049,14
9700024,14
9700043,14
9700073,14
WARD 03 PRECINCT 02,5
WARD 03 PRECINCT 07,5
WARD 03 PRECINCT 19,5
WARD 03 PRECINCT 20,5
WARD 03 PRECINCT 22,5
WARD 04 PRECINCT 01,14
WARD 04 PRECINCT 03,14
WARD 04 PRECINCT 24,5
WARD 05 PRECINCT 01,14
WARD 05 PRECINCT 09,14
WARD 05 PRECINCT 10,14
WARD 05 PRECINCT 15,14
WARD 07 PRECINCT 02,14
WARD 07 PRECINCT 10,14
WARD 07 PRECINCT 12,14
WARD 07 PRECINCT 13,14
WARD 07 PRECINCT 16,14
WARD 07 PRECINCT 17,14
WARD 09 PRECINCT 08,14
WARD 16 PRECINCT 20,14
WARD 17 PRECINCT 02,14
WARD 17 PRECINCT 14,14
WARD 18 PRECINCT 18,14
WARD 19 PRECINCT 10,14
WARD 19 PRECINCT 11,14
WARD 19 PRECINCT 19,14
WARD 19 PRECINCT 25,14
WARD 19 PRECINCT 26,14
WARD 19 PRECINCT 31,14
WARD 19 PRECINCT 36,14
WARD 20 PRECINCT 08,14
WARD 20 PRECINCT 14,14
BOURBONNAIS 10,11
BOURBONNAIS 11,11
BOURBONNAIS 13,11
BOURBONNAIS 14,11
BOURBONNAIS 17,11
BOURBONNAIS 5,11
MANTENO 4,11
DU PAGE PCT 033,12
PEOTONE PCT 001,14
PEOTONE PCT 002,14
TROY PCT 003,12
TROY PCT 022,12
7200003,14
