Precinct,district
WARD 47 PRECINCT 28,6
WARD 50 PRECINCT 24,6
7000008,6
7400014,6
7400016,6
7400017,6
7400023,6
7400027,6
7400046,6
7600004,6
7600015,6
7800042,6
8000004,6
8000012,6
8000016,6
8000017,6
8000035,6
8000047,6
8700002,6
8700018,6
8700027,6
8700035,6
8700047,6
8700059,6
9600063,6
ADDISON  007,6
ADDISON  065,6
GE0010,7
RU0013,6
SC0013,7
7200003,14
7200007,14
7200012,14
7200021,14
7200030,14
7200045,14
7300001,14
7300002,14
7700013,7
8600015,14
9500049,14
9700024,14
9700043,14
9700073,14
WARD 03 PRECINCT 02,8
WARD 03 PRECINCT 07,8
WARD 03 PRECINCT 19,8
WARD 03 PRECINCT 20,8
WARD 03 PRECINCT 22,8
WARD 04 PRECINCT 01,8
WARD 04 PRECINCT 03,8
WARD 04 PRECINCT 24,8
WARD 05 PRECINCT 01,8
WARD 05 PRECINCT 09,8
WARD 05 PRECINCT 10,8
WARD 05 PRECINCT 15,8
WARD 07 PRECINCT 02,8
WARD 07 PRECINCT 10,8
WARD 07 PRECINCT 12,8
WARD 07 PRECINCT 13,8
WARD 07 PRECINCT 16,8
WARD 07 PRECINCT 17,8
WARD 09 PRECINCT 08,8
WARD 16 PRECINCT 20,8
WARD 17 PRECINCT 02,14
WARD 17 PRECINCT 14,8
WARD 18 PRECINCT 18,14
WARD 19 PRECINCT 10,14
WARD 19 PRECINCT 11,14
WARD 19 PRECINCT 19,14
WARD 19 PRECINCT 25,14
WARD 19 PRECINCT 26,14
WARD 19 PRECINCT 31,14
WARD 19 PRECINCT 36,14
WARD 20 PRECINCT 08,8
WARD 20 PRECINCT 14,8
BOURBONNAIS 10,7
BOURBONNAIS 11,7
BOURBONNAIS 13,7
BOURBONNAIS 14,7
BOURBONNAIS 17,7
BOURBONNAIS 5,7
MANTENO 4,7
DU PAGE PCT 033,7
PEOTONE PCT 001,7
PEOTONE PCT 002,7
TROY PCT 003,7
TROY PCT 022,7
7200003,14
7200007,14
7200012,14
7200021,14
7200045,14
7300001,14
7300002,14
9500049,14
9700024,14
WARD 04 PRECINCT 01,8
WARD 04 PRECINCT 03,8
WARD 05 PRECINCT 01,8
WARD 05 PRECINCT 09,8
WARD 05 PRECINCT 10,8
WARD 05 PRECINCT 15,8
WARD 07 PRECINCT 02,8
WARD 07 PRECINCT 10,8
WARD 07 PRECINCT 12,8
WARD 07 PRECINCT 13,8
WARD 07 PRECINCT 16,8
WARD 07 PRECINCT 17,8
WARD 09 PRECINCT 08,8
BOURBONNAIS 10,7
BOURBONNAIS 11,7
BOURBONNAIS 13,7
BOURBONNAIS 14,7
BOURBONNAIS 17,7
BOURBONNAIS 5,7
MANTENO 4,7
ESMEN,11
PONTIAC 10,11
PONTIAC 9,11
CATLIN 2,11
GEORGETOWN 5,11
GEORGETOWN 7,11
MCKENDREE,11
OAKWOOD 2,11
VANCE,11
PEOTONE PCT 001,7
PEOTONE PCT 002,7
7200030,14
7900010,14
7900012,14
7900026,14
7900043,14
7900047,14
7900050,14
7900072,14
8600015,14
8900023,14
9400012,14
9700001,14
9700043,14
9700058,14
9700073,14
WARD 19 PRECINCT 10,14
WARD 19 PRECINCT 11,14
WARD 19 PRECINCT 19,14
WARD 19 PRECINCT 25,14
WARD 19 PRECINCT 26,14
WARD 19 PRECINCT 31,14
WARD 19 PRECINCT 36,14
DOWNERS GROVE  011,14
LISLE  017,14
LISLE  030,14
LISLE  041,14
LISLE  064,14
LISLE  071,14
LISLE  082,14
LISLE  107,14
YORK  006,6
YORK  007,14
YORK  015,6
YORK  023,14
YORK  038,14
YORK  070,14
YORK  087,14
YORK  106,14
YORK  116,14
7400017,6
7600004,6
7600015,6
7800026,6
WARD 26 PRECINCT 27,6
WARD 29 PRECINCT 04,6
WARD 29 PRECINCT 05,6
WARD 30 PRECINCT 03,6
WARD 30 PRECINCT 15,6
WARD 30 PRECINCT 22,6
WARD 30 PRECINCT 23,6
WARD 32 PRECINCT 19,6
WARD 33 PRECINCT 16,6
WARD 35 PRECINCT 22,6
WARD 37 PRECINCT 16,6
WARD 38 PRECINCT 06,6
WARD 38 PRECINCT 11,6
WARD 38 PRECINCT 17,6
WARD 38 PRECINCT 24,6
WARD 40 PRECINCT 23,6
WARD 45 PRECINCT 24,6
WARD 45 PRECINCT 27,6
WARD 45 PRECINCT 29,6
WARD 47 PRECINCT 28,6
ADDISON  007,6
ADDISON  065,6
WINFIELD  002,7
WINFIELD  031,7
YORK  087,14
7800026,6
7900010,14
7900012,14
7900026,14
7900043,14
7900047,14
7900050,14
7900072,14
8500033,6
8900023,14
8900025,14
8900030,14
8900071,14
9400012,14
9700001,14
9700058,14
WARD 14 PRECINCT 01,14
WARD 15 PRECINCT 10,14
WARD 16 PRECINCT 07,8
WARD 16 PRECINCT 23,9
WARD 17 PRECINCT 02,14
WARD 18 PRECINCT 18,14
WARD 20 PRECINCT 01,8
WARD 20 PRECINCT 05,8
WARD 22 PRECINCT 02,6
WARD 24 PRECINCT 18,6
WARD 25 PRECINCT 03,6
WARD 25 PRECINCT 13,13
DOWNERS GROVE  011,14
YORK  006,6
YORK  007,14
YORK  015,6
YORK  023,14
YORK  038,14
YORK  070,14
YORK  106,14
YORK  116,14
7800026,6
8500033,6
8900025,14
8900030,14
8900071,14
WARD 01 PRECINCT 21,8
WARD 02 PRECINCT 23,8
WARD 03 PRECINCT 02,8
WARD 03 PRECINCT 07,8
WARD 03 PRECINCT 19,8
WARD 03 PRECINCT 20,8
WARD 03 PRECINCT 22,8
WARD 04 PRECINCT 24,8
WARD 14 PRECINCT 01,14
WARD 15 PRECINCT 10,14
WARD 16 PRECINCT 07,8
WARD 16 PRECINCT 20,8
WARD 16 PRECINCT 23,14
WARD 17 PRECINCT 02,14
WARD 17 PRECINCT 14,8
WARD 20 PRECINCT 01,8
WARD 20 PRECINCT 05,8
WARD 20 PRECINCT 08,8
WARD 20 PRECINCT 14,8
WARD 22 PRECINCT 02,6
WARD 24 PRECINCT 18,6
WARD 25 PRECINCT 03,6
WARD 25 PRECINCT 13,8
WARD 26 PRECINCT 27,6
WARD 27 PRECINCT 09,8
WARD 27 PRECINCT 12,8
WARD 27 PRECINCT 13,8
WARD 27 PRECINCT 21,8
WARD 29 PRECINCT 04,6
WARD 29 PRECINCT 05,6
WARD 37 PRECINCT 16,6
WARD 42 PRECINCT 09,8
WARD 42 PRECINCT 22,8
WARD 43 PRECINCT 15,8
8000020,6
8000069,6
8100018,6
8100027,6
8100031,6
8100032,6
8200001,6
8200026,6
8300008,6
8300033,6
8300043,6
9600011,6
9600021,6
9600040,6
9600046,6
9600047,6
9600048,6
9600054,6
9600063,6
9600084,6
9600086,6
WARD 40 PRECINCT 04,6
WARD 40 PRECINCT 19,6
WARD 41 PRECINCT 28,6
WARD 46 PRECINCT 07,8
WARD 46 PRECINCT 08,8
WARD 46 PRECINCT 10,8
WARD 47 PRECINCT 02,6
WARD 47 PRECINCT 03,6
WARD 50 PRECINCT 24,6
WAUCONDA 344,6
WAUCONDA 350,6
8100018,6
8100027,6
8100031,6
8100032,6
8300008,6
8300043,6
9600047,6
9600048,6
9600054,6
GREENWOOD GRE 06,6
HARTLAND HAR 02,6
MCHENRY MCH 07,6
COLONA 1,12
EMMET,2
MACOMB CITY #1,2
MACOMB CITY #2,2
MACOMB CITY #7,2
MOUND,2
SCOTLAND,2
ALLIN 01,2
BLOOMINGTON 01,2
BLOOMINGTON 02,2
DALE 01,2
NORMAL 12,2
NORMAL 13,2
NORMAL 20,11
PRECINCT 10,11
PRECINCT 15,11
PRECINCT 17,2
PRECINCT 2,2
PRECINCT 52,2
KI01,2
LI01,2
LI02,2
RI01,2
RI03,2
RO01,2
