Precinct,district
WARD 47 PRECINCT 28,12
WARD 50 PRECINCT 24,12
7000008,15
7400014,15
7400016,15
7400017,15
7400023,15
7400027,15
7400046,15
7600004,2
7600015,2
7800042,12
8000004,15
8000012,15
8000016,15
8000017,15
8000035,15
8000047,15
8700002,15
8700018,15
8700027,15
8700035,15
8700047,15
8700059,15
9600063,15
ADDISON  007,2
ADDISON  065,2
GE0010,10
RU0013,17
SC0013,10
7200003,5
7200007,5
7200012,5
7200021,5
7200030,5
7200045,5
7300001,5
7300002,5
7700013,14
8600015,14
9500049,5
9700024,5
9700043,5
9700073,5
WARD 03 PRECINCT 02,12
WARD 03 PRECINCT 07,12
WARD 03 PRECINCT 19,12
WARD 03 PRECINCT 20,12
WARD 03 PRECINCT 22,12
WARD 04 PRECINCT 01,5
WARD 04 PRECINCT 03,5
WARD 04 PRECINCT 24,12
WARD 05 PRECINCT 01,5
WARD 05 PRECINCT 09,5
WARD 05 PRECINCT 10,5
WARD 05 PRECINCT 15,5
WARD 07 PRECINCT 02,5
WARD 07 PRECINCT 10,5
WARD 07 PRECINCT 12,5
WARD 07 PRECINCT 13,5
WARD 07 PRECINCT 16,5
WARD 07 PRECINCT 17,5
WARD 09 PRECINCT 08,5
WARD 16 PRECINCT 20,5
WARD 17 PRECINCT 02,5
WARD 17 PRECINCT 14,5
WARD 18 PRECINCT 18,5
WARD 19 PRECINCT 10,5
WARD 19 PRECINCT 11,5
WARD 19 PRECINCT 19,5
WARD 19 PRECINCT 25,5
WARD 19 PRECINCT 26,5
WARD 19 PRECINCT 31,5
WARD 19 PRECINCT 36,5
WARD 20 PRECINCT 08,5
WARD 20 PRECINCT 14,5
BOURBONNAIS 10,4
BOURBONNAIS 11,4
BOURBONNAIS 13,4
BOURBONNAIS 14,4
BOURBONNAIS 17,4
BOURBONNAIS 5,4
MANTENO 4,4
DU PAGE PCT 033,14
PEOTONE PCT 001,4
PEOTONE PCT 002,4
TROY PCT 003,14
TROY PCT 022,14
7200003,5
7200007,5
7200012,5
7200021,5
7200045,5
7300001,5
7300002,5
9500049,5
9700024,5
WARD 04 PRECINCT 01,5
WARD 04 PRECINCT 03,5
WARD 05 PRECINCT 01,5
WARD 05 PRECINCT 09,5
WARD 05 PRECINCT 10,5
WARD 05 PRECINCT 15,5
WARD 07 PRECINCT 02,5
WARD 07 PRECINCT 10,5
WARD 07 PRECINCT 12,5
WARD 07 PRECINCT 13,5
WARD 07 PRECINCT 16,5
WARD 07 PRECINCT 17,5
WARD 09 PRECINCT 08,5
BOURBONNAIS 10,4
BOURBONNAIS 11,4
BOURBONNAIS 13,4
BOURBONNAIS 14,4
BOURBONNAIS 17,4
BOURBONNAIS 5,4
MANTENO 4,4
ESMEN,16
PONTIAC 10,16
PONTIAC 9,16
CATLIN 2,4
GEORGETOWN 5,4
GEORGETOWN 7,4
MCKENDREE,4
OAKWOOD 2,4
VANCE,4
PEOTONE PCT 001,4
PEOTONE PCT 002,4
7200030,5
7900010,14
7900012,14
7900026,2
7900043,14
7900047,14
7900050,14
7900072,14
8600015,14
8900023,2
9400012,5
9700001,5
9700043,5
9700058,5
9700073,5
WARD 19 PRECINCT 10,5
WARD 19 PRECINCT 11,5
WARD 19 PRECINCT 19,5
WARD 19 PRECINCT 25,5
WARD 19 PRECINCT 26,5
WARD 19 PRECINCT 31,5
WARD 19 PRECINCT 36,5
DOWNERS GROVE  011,2
LISLE  017,2
LISLE  030,2
LISLE  041,2
LISLE  064,2
LISLE  071,14
LISLE  082,2
LISLE  107,2
YORK  006,2
YORK  007,2
YORK  015,2
YORK  023,2
YORK  038,2
YORK  070,2
YORK  087,2
YORK  106,2
YORK  116,2
7400017,15
7600004,2
7600015,2
7800026,12
WARD 26 PRECINCT 27,12
WARD 29 PRECINCT 04,12
WARD 29 PRECINCT 05,12
WARD 30 PRECINCT 03,12
WARD 30 PRECINCT 15,12
WARD 30 PRECINCT 22,12
WARD 30 PRECINCT 23,12
WARD 32 PRECINCT 19,12
WARD 33 PRECINCT 16,12
WARD 35 PRECINCT 22,12
WARD 37 PRECINCT 16,12
WARD 38 PRECINCT 06,12
WARD 38 PRECINCT 11,12
WARD 38 PRECINCT 17,12
WARD 38 PRECINCT 24,12
WARD 40 PRECINCT 23,12
WARD 45 PRECINCT 24,12
WARD 45 PRECINCT 27,12
WARD 45 PRECINCT 29,12
WARD 47 PRECINCT 28,12
ADDISON  007,2
ADDISON  065,2
WINFIELD  002,2
WINFIELD  031,10
YORK  087,2
7800026,12
7900010,14
7900012,14
7900026,2
7900043,14
7900047,14
7900050,14
7900072,14
8500033,12
8900023,2
8900025,2
8900030,2
8900071,2
9400012,5
9700001,5
9700058,5
WARD 14 PRECINCT 01,5
WARD 15 PRECINCT 10,5
WARD 16 PRECINCT 07,12
WARD 16 PRECINCT 23,5
WARD 17 PRECINCT 02,5
WARD 18 PRECINCT 18,5
WARD 20 PRECINCT 01,12
WARD 20 PRECINCT 05,12
WARD 22 PRECINCT 02,12
WARD 24 PRECINCT 18,12
WARD 25 PRECINCT 03,12
WARD 25 PRECINCT 13,12
DOWNERS GROVE  011,2
YORK  006,2
YORK  007,2
YORK  015,2
YORK  023,2
YORK  038,2
YORK  070,2
YORK  106,2
YORK  116,2
7800026,12
8500033,12
8900025,2
8900030,2
8900071,2
WARD 01 PRECINCT 21,12
WARD 02 PRECINCT 23,12
WARD 03 PRECINCT 02,12
WARD 03 PRECINCT 07,12
WARD 03 PRECINCT 19,12
WARD 03 PRECINCT 20,12
WARD 03 PRECINCT 22,12
WARD 04 PRECINCT 24,12
WARD 14 PRECINCT 01,5
WARD 15 PRECINCT 10,5
WARD 16 PRECINCT 07,12
WARD 16 PRECINCT 20,5
WARD 16 PRECINCT 23,5
WARD 17 PRECINCT 02,5
WARD 17 PRECINCT 14,5
WARD 20 PRECINCT 01,12
WARD 20 PRECINCT 05,5
WARD 20 PRECINCT 08,5
WARD 20 PRECINCT 14,5
WARD 22 PRECINCT 02,12
WARD 24 PRECINCT 18,12
WARD 25 PRECINCT 03,12
WARD 25 PRECINCT 13,12
WARD 26 PRECINCT 27,12
WARD 27 PRECINCT 09,12
WARD 27 PRECINCT 12,12
WARD 27 PRECINCT 13,12
WARD 27 PRECINCT 21,12
WARD 29 PRECINCT 04,12
WARD 29 PRECINCT 05,12
WARD 37 PRECINCT 16,12
WARD 42 PRECINCT 09,12
WARD 42 PRECINCT 22,12
WARD 43 PRECINCT 15,12
8000020,12
8000069,15
8100018,12
8100027,12
8100031,12
8100032,12
8200001,12
8200026,12
8300008,8
8300033,15
8300043,15
9600011,15
9600021,15
9600040,15
9600046,15
9600047,15
9600048,15
9600054,15
9600063,15
9600084,15
9600086,15
WARD 40 PRECINCT 04,12
WARD 40 PRECINCT 19,12
WARD 41 PRECINCT 28,12
WARD 46 PRECINCT 07,12
WARD 46 PRECINCT 08,12
WARD 46 PRECINCT 10,12
WARD 47 PRECINCT 02,12
WARD 47 PRECINCT 03,12
WARD 50 PRECINCT 24,12
WAUCONDA 344,17
WAUCONDA 350,17
8100018,12
8100027,12
8100031,12
8100032,12
8300008,8
8300043,15
9600047,15
9600048,15
9600054,15
GREENWOOD GRE 06,17
HARTLAND HAR 02,17
MCHENRY MCH 07,17
COLONA 1,1
EMMET,1
MACOMB CITY #1,1
MACOMB CITY #2,1
MACOMB CITY #7,1
MOUND,11
SCOTLAND,11
ALLIN 01,16
BLOOMINGTON 01,16
BLOOMINGTON 02,16
DALE 01,16
NORMAL 12,16
NORMAL 13,16
NORMAL 20,16
PRECINCT 10,16
PRECINCT 15,16
PRECINCT 17,16
PRECINCT 2,16
PRECINCT 52,16
KI01,11
LI01,11
LI02,11
RI01,11
RI03,11
RO01,11
CINCINNATI 01,11
CINCINNATI 03,11
HOPEDALE 01,11
LT MACKINAW 01,16
PEKIN 13,11
CHERRY VALLEY 2,13
CHERRY VALLEY 3,13
CHERRY VALLEY 6,13
HARLEM 1,13
HARLEM 23,13
ROCKFORD 1,13
ROCKFORD 15,13
ROCKFORD 2,13
ROCKFORD 25,13
ROCKFORD 27,13
ROCKFORD 31,13
ROCKFORD 32,13
ROCKFORD 33,13
ROCKFORD 51,13
ROCKFORD 52,13
ROCKFORD 9,13
WARD 1 PRECINCT 2,13
WARD 1 PRECINCT 5,13
WARD 12 PRECINCT 2,13
WARD 12 PRECINCT 5,13
WARD 4 PRECINCT 1,13
WARD 4 PRECINCT 4,13
WARD 4 PRECINCT 8,13
WARD 5 PRECINCT 3,13
WARD 6 PRECINCT 1,13
WARD 6 PRECINCT 3,13
WARD 7 PRECINCT 4,13
WARD 9 PRECINCT 3,13
WINNEBAGO 1,13
WINNEBAGO 2,13
BELLEVILLE 22,9
BELLEVILLE 26,9
CASEYVILLE 1,9
CASEYVILLE 12,9
CASEYVILLE 19,9
CASEYVILLE 25,9
CASEYVILLE 5,9
CENTREVILLE 15,9
MILLSTADT 1,9
O FALLON 2,9
ST CLAIR 14,9
STOOKEY 10,9
STOOKEY 2,9
STOOKEY 6,9
SUGAR LOAF 1,9
BEVERLY PCT 1,9
BURTON PCT 1,9
CAMP POINT PCT 1,9
CAMP POINT PCT 2,9
CLAYTON PCT 1,9
COLUMBUS PCT 1,9
CONCORD PCT 1,9
ELLINGTON PCT 1,9
ELLINGTON PCT 2,9
ELLINGTON PCT 3,9
FALL CREEK PCT 1,9
GILMER PCT 1,9
HONEY CREEK PCT 1,9
HOUSTON PCT 1,9
KEENE PCT 1,1
LIBERTY PCT 1,9
LIMA PCT 1,1
MCKEE PCT 1,9
MELROSE PCT 1,9
MELROSE PCT 2,9
MELROSE PCT 3,9
MELROSE PCT 4,9
MELROSE PCT 5,9
MELROSE PCT 6,9
MENDON PCT 1,1
MENDON PCT 2,9
NORTHEAST PCT 1,9
PAYSON PCT 1,9
PAYSON PCT 2,9
QUINCY PCT 1,9
QUINCY PCT 10,9
QUINCY PCT 11,9
QUINCY PCT 12,9
QUINCY PCT 13,9
QUINCY PCT 14,9
QUINCY PCT 15,9
QUINCY PCT 16,9
QUINCY PCT 17,9
QUINCY PCT 18,9
QUINCY PCT 19,9
QUINCY PCT 2,9
QUINCY PCT 20,9
QUINCY PCT 21,9
QUINCY PCT 22,9
QUINCY PCT 23,9
QUINCY PCT 24,9
QUINCY PCT 25,9
QUINCY PCT 26,9
QUINCY PCT 27,9
QUINCY PCT 28,9
QUINCY PCT 29,9
QUINCY PCT 3,9
QUINCY PCT 30,9
QUINCY PCT 31,9
QUINCY PCT 32,9
QUINCY PCT 33,9
QUINCY PCT 34,9
QUINCY PCT 35,9
QUINCY PCT 36,9
QUINCY PCT 37,9
QUINCY PCT 38,9
QUINCY PCT 39,9
QUINCY PCT 4,9
QUINCY PCT 40,9
QUINCY PCT 5,9
QUINCY PCT 6,9
QUINCY PCT 7,9
QUINCY PCT 8,9
QUINCY PCT 9,9
RICHFIELD PCT 1,9
RIVERSIDE PCT 1,9
RIVERSIDE PCT 2,9
RIVERSIDE PCT 3,9
URSA PCT 1,1
CACHE,9
CAIRO 1,9
CAIRO 2,9
CAIRO 3,9
CAIRO 4,9
CAIRO 5,9
MCCLURE,9
OLIVE BRANCH,9
SANDUSKY,9
TAMMS,9
THEBES,9
BURGESS 1,9
BURGESS 2,9
BURGESS 3,9
CENTRAL 1,9
CENTRAL 1-A,9
CENTRAL 2,9
CENTRAL 3,9
CENTRAL 4,9
CENTRAL 6,9
CENTRAL 7,9
LAGRANGE,9
MILLS,9
MULBERRY GROVE 1,9
MULBERRY GROVE 2,9
OLD RIPLEY,9
PLEASANT MOUND 1,9
PLEASANT MOUND 2,9
SHOAL CREEK 1,9
SHOAL CREEK 2,9
TAMALCO,9
BELVIDERE 1,13
BELVIDERE 10,13
BELVIDERE 11,13
BELVIDERE 12,13
BELVIDERE 13,13
BELVIDERE 14,13
BELVIDERE 15,13
BELVIDERE 16,13
BELVIDERE 17,13
BELVIDERE 18,13
BELVIDERE 2,13
BELVIDERE 3,13
BELVIDERE 4,13
BELVIDERE 5,13
BELVIDERE 6,13
BELVIDERE 7,13
BELVIDERE 8,13
BELVIDERE 9,13
BONUS 1,13
BONUS 2,13
BOONE 1,13
CALEDONIA 1,13
CALEDONIA 2,13
CALEDONIA 3,13
CALEDONIA 4,13
CALEDONIA 5,13
FLORA 2,13
FLORA 3,13
LE ROY,13
MANCHESTER,13
POPLAR GROVE 1,13
POPLAR GROVE 2,13
POPLAR GROVE 3,13
POPLAR GROVE 4,13
POPLAR GROVE 5,13
SPRING,13
BUCKHORN TOWNSHIP,9
COOPERSTOWN TOWNSHIP,9
ELKHORN TOWNSHIP,9
LEE TOWNSHIP,9
MISSOURI TOWNSHIP,9
MT. STERLING 1,9
MT. STERLING 2,9
MT. STERLING 3,9
MT. STERLING 4,9
MT. STERLING 5,9
PEA RIDGE TOWNSHIP,9
RIPLEY TOWNSHIP,9
VERSAILLES TOWNSHIP 1,9
VERSAILLES TOWNSHIP 2,9
ARISPIE,11
BERLIN,3
BUREAU,3
CLARION,13
CONCORD 1,3
CONCORD 2,3
DOVER,3
FAIRFIELD,3
GOLD,3
GREENVILLE,3
HALL 1,11
HALL 10,11
HALL 2,11
HALL 3,11
HALL 4,11
HALL 5,11
HALL 6,11
HALL 7,11
HALL 8,11
HALL 9,11
INDIANTOWN,11
LA MOILLE 1,3
LA MOILLE 2,3
LEEPERTOWN,11
MACON,3
MANLIUS,3
MILO,11
MINERAL,3
NEPONSET,3
OHIO 1,3
OHIO 2,3
PRINCETON 1,3
PRINCETON 2,3
PRINCETON 3,3
PRINCETON 4,3
PRINCETON 5,3
PRINCETON 6,3
PRINCETON 7,3
PRINCETON 8,3
PRINCETON 9,11
SELBY 1,11
SELBY 3,11
WALNUT 1,3
WALNUT 2,3
WESTFIELD 1,13
WESTFIELD 2,11
WHEATLAND,11
WYANET 1,3
WYANET 2,3
BELLEVIEW PRECINCT,9
CRATER-CARLIN PCT.,9
GILEAD PRECINCT,9
HAMBURG PRECINCT,9
HARDIN PRECINCT,9
POINT PRECINCT,9
RICHWOODS PRECINCT,9
CHERRY GROVE-SHANNON 1,3
CHERRY GROVE-SHANNON 2,3
ELKHORN GROVE,3
FAIR HAVEN,3
FREEDOM,3
MT. CARROLL 1,3
MT. CARROLL 2,3
MT. CARROLL 3,3
ROCK CREEK-LIMA 1,3
ROCK CREEK-LIMA 2,3
SALEM,3
SAVANNA 1,3
SAVANNA 2,3
SAVANNA 3,3
SAVANNA 4,3
SAVANNA 5,3
SAVANNA 6,3
WASHINGTON,3
WOODLAND,3
WYSOX 1,3
WYSOX 2,3
YORK,3
ARENZVILLE 11,9
ASHLAND 20,9
ASHLAND 21,9
BEARDSTOWN 1,9
BEARDSTOWN 2,9
BEARDSTOWN 3,9
BEARDSTOWN 4,9
BEARDSTOWN 5,9
BEARDSTOWN 6,9
BEARDSTOWN 7,9
BEARDSTOWN 8,9
BLUFF SPRINGS 10,9
CHANDLERVILLE 18,9
HAGENER 9,9
NEWMANSVILLE 19,9
PANTHER CREEK 17,9
PHILADELPHIA 16,9
SANGAMON VALLEY 12,9
VIRGINIA 13,9
VIRGINIA 14,9
VIRGINIA 15,9
AYERS,7
BROWN FISHER,16
BROWN FOOSLAND,16
CHAMPAIGN 1,7
CHAMPAIGN 2,7
CHAMPAIGN 3,7
CHAMPAIGN 4,7
CHAMPAIGN 5,7
CHAMPAIGN 6,7
CITY OF CHAMPAIGN 01,7
CITY OF CHAMPAIGN 02,7
CITY OF CHAMPAIGN 03,7
CITY OF CHAMPAIGN 04,7
CITY OF CHAMPAIGN 05,7
CITY OF CHAMPAIGN 06,7
CITY OF CHAMPAIGN 07,7
CITY OF CHAMPAIGN 08,7
CITY OF CHAMPAIGN 09,7
CITY OF CHAMPAIGN 10,7
CITY OF CHAMPAIGN 11,7
CITY OF CHAMPAIGN 12,7
CITY OF CHAMPAIGN 13,7
CITY OF CHAMPAIGN 14,7
CITY OF CHAMPAIGN 15,7
CITY OF CHAMPAIGN 16,7
CITY OF CHAMPAIGN 17,7
CITY OF CHAMPAIGN 18,7
CITY OF CHAMPAIGN 19,7
CITY OF CHAMPAIGN 20,7
CITY OF CHAMPAIGN 21,7
CITY OF CHAMPAIGN 22,7
CITY OF CHAMPAIGN 23,7
CITY OF CHAMPAIGN 24,7
CITY OF CHAMPAIGN 25,7
CITY OF CHAMPAIGN 26,7
CITY OF CHAMPAIGN 27,7
CITY OF CHAMPAIGN 28,7
CITY OF CHAMPAIGN 29,7
CITY OF CHAMPAIGN 30,7
CITY OF CHAMPAIGN 31,7
CITY OF CHAMPAIGN 32,7
CITY OF CHAMPAIGN 33,7
CITY OF CHAMPAIGN 34,7
CITY OF CHAMPAIGN 35,7
CITY OF CHAMPAIGN 36,7
CITY OF CHAMPAIGN 37,7
CITY OF CHAMPAIGN 38,7
CITY OF CHAMPAIGN 39,7
COLFAX,7
COMPROMISE GIFFORD,4
COMPROMISE PENFIELD,4
CONDIT,16
CRITTENDEN,7
CUNNINGAHM 15,7
CUNNINGHAM 01,7
CUNNINGHAM 02,7
CUNNINGHAM 03,7
CUNNINGHAM 04,7
CUNNINGHAM 05,7
CUNNINGHAM 06,7
CUNNINGHAM 07,7
CUNNINGHAM 08,7
CUNNINGHAM 09,7
CUNNINGHAM 10,7
CUNNINGHAM 11,7
CUNNINGHAM 12,7
CUNNINGHAM 13,7
CUNNINGHAM 14,7
CUNNINGHAM 16,7
CUNNINGHAM 17,7
CUNNINGHAM 18,7
CUNNINGHAM 19,7
CUNNINGHAM 20,7
CUNNINGHAM 21,7
CUNNINGHAM 22,7
CUNNINGHAM 23,7
EAST BEND,16
HARWOOD,4
KERR,4
LUDLOW 1,16
LUDLOW 2,16
LUDLOW 3,16
MAHOMET 1,7
MAHOMET 2,7
MAHOMET 3,7
MAHOMET 4,7
MAHOMET 5,7
NEWCOMB,16
ODGEN 2,4
OGDEN 1,7
PESOTUM,7
PHILO,7
RANTOUL 1,16
RANTOUL 2,16
RANTOUL 3,16
RANTOUL 4,16
RANTOUL 5,16
RANTOUL 6,16
RAYMOND,7
SADORUS IVESDALE,7
SADORUS SADORUS,7
SCOTT BONDVILLE,7
SCOTT SEYMOUR,7
SIDNEY,7
SOUTH HOMER,7
ST. JOSEPH 1,7
ST. JOSEPH 2,7
ST. JOSEPH 3,7
STANTON,7
TOLONO 1,7
TOLONO 2,7
TOLONO 3,7
URBANA 1,7
URBANA 2,7
URBANA 3,7
URBANA 4,7
ASSUMPTION,7
BEAR CREEK,9
BUCKHART,9
GREENWOOD,9
JOHNSON,9
KING,9
LOCUST,7
MAY,7
MOSQUITO,7
MT AUBURN,9
PANA #1,7
PANA #2,7
PANA #3,7
PANA #4,7
PRAIRIETON,7
RICKS,9
ROSAMOND,7
SOUTH FORK #1,9
SOUTH FORK #2,9
STONINGTON,7
TAYLORVILLE #1,9
TAYLORVILLE #2,9
TAYLORVILLE #3,9
TAYLORVILLE #4,9
TAYLORVILLE #5,9
TAYLORVILLE #6,9
TAYLORVILLE #7,9
TAYLORVILLE #8,9
TAYLORVILLE #9,9
ANDERSON,7
AUBURN,7
CASEY 1,7
CASEY 2,7
CASEY 3,7
CASEY 4,7
DARWIN,7
DOLSON,7
DOUGLAS,7
JOHNSON,7
MARSHALL 1,7
MARSHALL 2,7
MARSHALL 3,7
MARSHALL 4,7
MARTINSVILLE 1,7
MARTINSVILLE 2,7
MELROSE,7
ORANGE,7
PARKER,7
WABASH 1,7
WABASH 2,7
WESTFIELD,7
YORK,7
BIBLE GROVE,7
BLAIR,7
CLAY CITY,7
HARTER 1,7
HARTER 3,7
HARTER 4,7
HARTER 5,7
HARTER 6,7
HARTER 7,7
HOOSIER,7
LARKINSBURG,7
LOUISVILLE 1,7
LOUISVILLE 2,7
OSKALOOSA,7
